,price(L)
3176,21.0
603,311.0
1489,1250.0
2855,15.5
2966,10.0
60,79.75
3351,23.45
671,195.0
92,131.0
666,181.0
1887,240.0
280,403.0
1719,764.0
359,77.36
899,37.66
1935,36.0
1994,18.39
2907,78.04
760,130.0
2158,133.0
3193,15.67
42,134.0
2173,142.0
204,32.49
1473,150.0
2100,55.2
2593,5.0
68,123.0
1875,25.05
2893,69.0
2231,56.64
137,160.0
796,30.79
2180,51.55
2128,500.0
758,155.0
541,98.32
1019,96.85
2788,4.0
165,650.0
248,54.28
1331,25.0
2017,47.53
446,49.0
2482,32.0
1358,225.0
2145,52.29
1329,26.25
2785,37.84
3619,12.4
2150,160.0
434,109.0
2122,58.93
577,58.0
2906,121.0
3343,11.56
2448,28.8
1848,20.25
762,121.0
388,121.0
235,17.99
3659,67.0
